,Date,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
0,2020-01-03,0,0,0,0
1,2020-01-04,66,66,1120,1120
2,2020-01-05,0,66,0,1120
3,2020-01-06,3,69,0,1120
4,2020-01-07,0,69,0,1120
5,2020-01-08,0,69,0,1120
6,2020-01-09,1,70,0,1120
7,2020-01-10,0,70,0,1120
8,2020-01-11,1,71,0,1120
9,2020-01-12,42,113,1,1121
10,2020-01-13,1,114,0,1121
11,2020-01-14,5,119,0,1121
12,2020-01-15,0,119,0,1121
13,2020-01-16,0,119,0,1121
14,2020-01-17,1,120,1,1122
15,2020-01-18,4,124,0,1122
16,2020-01-19,77,201,1,1123
17,2020-01-20,79,280,1,1124
18,2020-01-21,93,373,2,1126
19,2020-01-22,148,521,11,1137
20,2020-01-23,131,652,1,1138
21,2020-01-24,275,927,8,1146
22,2020-01-25,473,1400,16,1162
23,2020-01-26,697,2097,14,1176
24,2020-01-27,790,2887,26,1202
25,2020-01-28,1775,4662,49,1251
26,2020-01-29,1491,6153,2,1253
27,2020-01-30,1756,7909,38,1291
28,2020-01-31,2013,9922,42,1333
29,2020-02-01,2112,12034,46,1379
30,2020-02-02,2605,14639,103,1482
31,2020-02-03,2836,17475,64,1546
32,2020-02-04,3255,20730,66,1612
33,2020-02-05,3948,24678,72,1684
34,2020-02-06,3728,28406,70,1754
35,2020-02-07,3197,31603,85,1839
36,2020-02-08,3408,35011,87,1926
37,2020-02-09,2668,37679,100,2026
38,2020-02-10,3059,40738,107,2133
39,2020-02-11,2485,43223,100,2233
40,2020-02-12,2073,45296,5,2238
41,2020-02-13,15204,60500,253,2491
42,2020-02-14,4076,64576,152,2643
43,2020-02-15,2726,67302,144,2787
44,2020-02-16,2107,69409,104,2891
45,2020-02-17,2158,71567,98,2989
46,2020-02-18,1998,73565,139,3128
47,2020-02-19,1885,75450,113,3241
48,2020-02-20,426,75876,127,3368
49,2020-02-21,1034,76910,1,3369
50,2020-02-22,1064,77974,209,3578
51,2020-02-23,1033,79007,5,3583
52,2020-02-24,528,79535,159,3742
53,2020-02-25,839,80374,80,3822
54,2020-02-26,861,81235,62,3884
55,2020-02-27,1078,82313,42,3926
56,2020-02-28,1381,83694,63,3989
57,2020-02-29,1757,85451,66,4055
58,2020-03-01,1800,87251,47,4102
59,2020-03-02,1678,88929,66,4168
60,2020-03-03,2325,91254,81,4249
61,2020-03-04,2985,94239,92,4341
62,2020-03-05,2509,96748,90,4431
63,2020-03-06,3681,100429,105,4536
64,2020-03-07,3706,104135,114,4650
65,2020-03-08,3654,107789,134,4784
66,2020-03-09,3949,111738,226,5010
67,2020-03-10,5098,116836,216,5226
68,2020-03-11,5951,122787,305,5531
69,2020-03-12,8435,131222,366,5897
70,2020-03-13,9909,141131,387,6284
71,2020-03-14,12062,153193,504,6788
72,2020-03-15,13201,166394,469,7257
73,2020-03-16,12957,179351,746,8003
74,2020-03-17,16816,196167,790,8793
75,2020-03-18,19783,215950,918,9711
76,2020-03-19,24392,240342,1124,10835
77,2020-03-20,29508,269850,1287,12122
78,2020-03-21,33078,302928,1565,13687
79,2020-03-22,36310,339238,1977,15664
80,2020-03-23,34274,373512,1938,17602
81,2020-03-24,42427,415939,2161,19763
82,2020-03-25,47528,463467,2651,22414
83,2020-03-26,51524,514991,2899,25313
84,2020-03-27,60680,575671,3298,28611
85,2020-03-28,67300,642971,3802,32413
86,2020-03-29,66062,709033,3972,36385
87,2020-03-30,58152,767185,3814,40199
88,2020-03-31,65420,832605,4362,44561
89,2020-04-01,67542,900147,4869,49430
90,2020-04-02,73725,973872,5237,54667
91,2020-04-03,77035,1050907,5592,60259
92,2020-04-04,81418,1132325,7445,67704
93,2020-04-05,76745,1209070,6198,73902
94,2020-04-06,71245,1280315,5717,79619
95,2020-04-07,69539,1349854,6629,86248
96,2020-04-08,75423,1425277,7301,93549
97,2020-04-09,80159,1505436,6858,100407
98,2020-04-10,88142,1593578,7957,108364
99,2020-04-11,87934,1681512,7290,115654
100,2020-04-12,81287,1762799,6961,122615
101,2020-04-13,73183,1835982,6592,129207
102,2020-04-14,66910,1902892,6253,135460
103,2020-04-15,71254,1974146,6551,142011
104,2020-04-16,75065,2049211,8069,150080
105,2020-04-17,79112,2128323,7487,157567
106,2020-04-18,83331,2211654,8455,166022
107,2020-04-19,81524,2293178,6720,172742
108,2020-04-20,71558,2364736,5806,178548
109,2020-04-21,73440,2438176,6082,184630
110,2020-04-22,74817,2512993,6359,190989
111,2020-04-23,74710,2587703,6796,197785
112,2020-04-24,82611,2670314,6355,204140
113,2020-04-25,96245,2766559,6100,210240
114,2020-04-26,83011,2849570,6099,216339
115,2020-04-27,79310,2928880,5314,221653
116,2020-04-28,70294,2999174,5262,226915
117,2020-04-29,70730,3069904,5464,232379
118,2020-04-30,77047,3146951,6130,238509
119,2020-05-01,82513,3229464,6214,244723
120,2020-05-02,88538,3318002,6020,250743
121,2020-05-03,87409,3405411,6040,256783
122,2020-05-04,79069,3484480,5044,261827
123,2020-05-05,80611,3565091,4885,266712
124,2020-05-06,77074,3642165,4912,271624
125,2020-05-07,82816,3724981,6429,278053
126,2020-05-08,89785,3814766,6154,284207
127,2020-05-09,92117,3906883,5952,290159
128,2020-05-10,91408,3998291,5159,295318
129,2020-05-11,86637,4084928,5229,300547
130,2020-05-12,73839,4158767,4520,305067
131,2020-05-13,81085,4239852,4654,309721
132,2020-05-14,86319,4326171,5278,314999
133,2020-05-15,87204,4413375,5308,320307
134,2020-05-16,102362,4515737,5733,326040
135,2020-05-17,98926,4614663,5358,331398
136,2020-05-18,96475,4711138,4736,336134
137,2020-05-19,80269,4791407,4170,340304
138,2020-05-20,93607,4885014,4490,344794
139,2020-05-21,104820,4989834,5256,350050
140,2020-05-22,106867,5096701,5092,355142
141,2020-05-23,108092,5204793,5074,360216
142,2020-05-24,107008,5311801,5427,365643
143,2020-05-25,96697,5408498,4297,369940
144,2020-05-26,94204,5502702,4163,374103
145,2020-05-27,89608,5592310,4315,378418
146,2020-05-28,99731,5692041,4698,383116
147,2020-05-29,109200,5801241,5212,388328
148,2020-05-30,120164,5921405,5357,393685
149,2020-05-31,121669,6043074,4953,398638
150,2020-06-01,127263,6170337,4649,403287
151,2020-06-02,109490,6279827,4222,407509
152,2020-06-03,99227,6379054,4360,411869
153,2020-06-04,124919,6503973,5360,417229
154,2020-06-05,127318,6631291,5484,422713
155,2020-06-06,127146,6758437,5588,428301
156,2020-06-07,133108,6891545,4946,433247
157,2020-06-08,126002,7017547,5009,438256
158,2020-06-09,108780,7126327,4131,442387
